bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of func. executed by failing TCs,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,rank of buggy function among func. executed by failing tcs (met),met accuracy among func. executed by failing tcs,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function,rank of buggy function among func. executed by failing tcs (muse),muse accuracy among func. executed by failing tcs
convolution_layer.MUT119.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::fuseWeights(const class cv::Mat & w_, const class cv::Mat & b_)#634",2,2211,1183,256,20,4,16,92542,11,1095,194,1,1.0,1,1.0,1,0.5154639175257731,1,0.0539215686274509,1,0.0539215686274509,1,0.5154639175257731
flow_warp_layer.MUT31.cpp,"opencv_dnn/modules/dnn/src/layers/flow_warp_layer.cpp#FlowWarpLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#77",1,353,565,113,20,0,20,137071,1,1095,30,1,1.0,1,1.0,1,3.3333333333333335,1,0.0238095238095238,1,0.0238095238095238,1,3.3333333333333335
onnx_importer.MUT1328.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseEinsum(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3260",13,796,1224,517,13,0,13,195806,47,1095,85,1,1.0,1,1.0,1,1.1764705882352942,1,0.0580357142857142,1,0.0580357142857142,1,1.1764705882352942
pooling_layer.MUT306.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1026,43,5478,1142,335,20,0,20,68455,3,1095,478,1,0.2156655464068768,1,0.2156655464068768,1,0.20920502092050208,1,0.0357142857142857,1,0.0357142857142857,1,0.20920502092050208
recurrent_layers.MUT363.cpp,opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#GRULayerImpl::GRULayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#976,3,1449,1110,349,20,4,16,140082,5,1095,134,1,1.0,1,1.0,1,0.7462686567164178,1,0.0490196078431372,1,0.0490196078431372,1,0.7462686567164178
slice_layer.MUT163.cpp,opencv_dnn/modules/dnn/src/layers/slice_layer.cpp#CropLayerImpl::CropLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#869,6,271,375,82,20,0,20,184538,156,1095,22,1,1.0,1,1.0,1,4.545454545454546,1,0.0127388535031847,1,0.0127388535031847,1,4.545454545454546
recurrent_layers.MUT75.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#303",17,2332,1209,325,20,3,17,65277,0,1095,200,1095,0.0,1095,0.0,200,100.0,1095,0.0,1095,0.0,200,100.0
darknet_io.MUT403.cpp,"opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#ReadDarknetFromCfgStream(std::istream & ifile, class cv::dnn::darknet::NetParameter * net)#816",1,344,442,160,20,4,16,62627,0,1095,23,1095,0.0,1095,0.0,23,100.0,1095,0.0,1095,0.0,23,100.0
einsum_layer.MUT172.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::preProcessInputs(const class cv::_InputArray & inputs_arr)#617,13,1201,1219,390,19,4,15,121980,0,1095,118,1095,0.0,1095,0.0,118,100.0,1095,0.0,1095,0.0,118,100.0
onnx_graph_simplifier.MUT126.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#AttentionSubGraph::AttentionSubGraph()#438,1,1567,1062,349,20,10,10,78558,0,1095,152,1095,0.0,1095,0.0,152,100.0,1095,0.0,1095,0.0,152,100.0
pooling_layer.MUT366.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1114,1,507,666,91,4,0,4,152107,1,1095,40,1,1.0,1,1.0,1,2.5,1,0.1,1,0.1,1,2.5
quantization_utils.MUT8.cpp,"opencv_dnn/modules/dnn/src/int8layers/quantization_utils.cpp#broadcast1D2TargetMat(class cv::Mat & data, const cv::dnn::dnn4_v20240521::MatShape & targetShape, int axis)#33",1,1491,1141,431,20,3,17,123030,1,1095,147,1,1.0,1,1.0,1,0.6802721088435374,1,0.0277777777777777,1,0.0277777777777777,1,0.6802721088435374
caffe_importer.MUT111.cpp,opencv_dnn/modules/dnn/src/caffe/caffe_importer.cpp#CaffeImporter::populateNet(class cv::dnn::dnn4_v20240521::Net dstNet)#407,4,162,1087,251,20,0,20,156244,0,1095,20,1095,0.0,1095,0.0,20,100.0,1095,0.0,1095,0.0,20,100.0
reshape_layer.MUT107.cpp,"opencv_dnn/modules/dnn/src/layers/reshape_layer.cpp#ReshapeLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#325",45,5457,1136,371,20,3,17,77885,225,1095,477,1,1.0,1,1.0,1,0.20964360587002098,1,0.0553097345132743,1,0.0553097345132743,1,0.20964360587002098
einsum_layer.MUT317.cpp,"opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::pairwiseOperandProcess(const class cv::Mat & left, const cv::dnn::dnn4_v20240521::MatShape & leftShapeOverride, const class cv::Mat & right, const cv::dnn::dnn4_v20240521::MatShape & rightShapeOverride, const cv::dnn::dnn4_v20240521::MatShape & reduceDims, _Bool isFinalPair)#1061",7,1236,1024,354,20,0,20,148682,10,1095,121,1,1.0,1,1.0,1,0.8264462809917356,1,0.0303030303030303,1,0.0303030303030303,1,0.8264462809917356
onnx_importer.MUT371.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseSlice(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1259",15,3218,1150,362,20,3,17,73903,66,1095,293,1,1.0,1,1.0,1,0.3412969283276451,1,0.0547263681592039,1,0.0547263681592039,1,0.3412969283276451
reduce_layer.MUT135.cpp,"opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceInvoker::ReduceInvoker<Op>(const class cv::Mat & src_, class cv::Mat & dst_, int axes_)#380",5,2992,1303,351,20,3,17,90383,27,1095,288,1,1.0,1,1.0,1,0.3472222222222222,1,0.0535714285714285,1,0.0535714285714285,1,0.3472222222222222
eltwise_layer.MUT204.cpp,opencv_dnn/modules/dnn/src/layers/eltwise_layer.cpp#EltwiseInvoker::operator()(const class cv::Range & r)#552,8,533,799,160,20,4,16,240974,379,1095,42,1,1.0,1,1.0,1,2.380952380952381,1,0.0113870515067625,1,0.0113870515067625,1,2.380952380952381
attention_layer.MUT34.cpp,"opencv_dnn/modules/dnn/src/layers/attention_layer.cpp#AttentionLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#93",2,1263,1155,413,20,0,20,180855,89,1095,119,2,0.7071067811865475,1095,0.0,119,100.0,1,0.0139651155344731,1095,0.0,119,100.0
concat_layer.MUT65.cpp,"opencv_dnn/modules/dnn/src/layers/concat_layer.cpp#ConcatLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#290",5,2870,1349,499,20,0,20,120354,39,1095,271,1,1.0,1,1.0,1,0.36900369003690037,1,0.0428571428571428,1,0.0428571428571428,1,0.36900369003690037
darknet_io.MUT145.cpp,opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#setLayersParams::setSoftmax()#368,1,122,1071,351,10,6,4,191834,0,1095,14,1095,0.0,1095,0.0,14,100.0,1094,0.0,1094,0.0,13,92.85714285714286
softmax_layer.MUT103.cpp,"opencv_dnn/modules/dnn/src/int8layers/softmax_layer.cpp#SoftMaxLayerInt8Impl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#374",5,2766,1114,373,0,0,0,96248,0,1095,264,1095,0.0,1095,0.0,264,100.0,1095,0.0,1095,0.0,264,100.0
recurrent_layers.MUT209.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#559",3,2149,1180,383,20,0,20,78064,581,1095,195,1,1.0,1,1.0,1,0.5128205128205128,1,0.0032178874724176,1,0.0032178874724176,1,0.5128205128205128
torch_importer.MUT107.cpp,"opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchTensor(int indexTensor, int typeTensor)#428",26,361,551,127,20,0,20,46173,255,1095,37,1,1.0,1,1.0,1,2.7027027027027026,1,0.0442708333333333,1,0.0442708333333333,1,2.7027027027027026
tf_graph_simplifier.MUT446.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#sortByExecutionOrder(tensorflow::GraphDef & net)#1022,148,2917,1101,365,20,1,19,67874,898,1095,264,1,1.0,1,1.0,1,0.3787878787878788,1,0.0499443826473859,1,0.0499443826473859,1,0.3787878787878788
tf_importer.MUT56.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#setStrides(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const tensorflow::NodeDef & layer)#323",31,3935,1303,359,20,0,20,82533,82,1095,349,1,0.915810939779251,1,0.915810939779251,1,0.28653295128939826,1,0.0470453241537578,1,0.0470453241537578,1,0.28653295128939826
pooling_layer.MUT216.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#893,1,649,1060,191,20,1,19,100532,0,1095,57,1095,0.0,1095,0.0,57,100.0,1093,0.0,1093,0.0,55,96.49122807017544
nary_eltwise_layers.MUT149.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::binary_forward_impl(int ndims, const int & shape, const char * data1, const int & step1, const char * data2, const int & step2, char * data, const int & step, const Functor & op)#381",3,1802,1136,330,20,1,19,123090,41,1095,183,1,1.0,1,1.0,1,0.546448087431694,1,0.0166666666666666,1,0.0166666666666666,1,0.546448087431694
pooling_layer.MUT304.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1024,43,5485,1239,361,20,0,20,64713,12,1095,478,1,0.4313310928137536,1,0.4313310928137536,1,0.20920502092050208,1,0.0439560439560439,1,0.0439560439560439,1,0.20920502092050208
correlation_layer.MUT94.cpp,"opencv_dnn/modules/dnn/src/layers/correlation_layer.cpp#CorrelationLayerImpl::correlationKernelSubtraction(const class cv::Mat & input0, const class cv::Mat & input1, class cv::Mat & output, int item)#162",1,426,797,133,20,2,18,157964,1,1095,35,1,1.0,1,1.0,1,2.857142857142857,1,0.0263157894736842,1,0.0263157894736842,1,2.857142857142857
convolution_layer.MUT445.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#DeConvolutionLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#2048",7,2745,1292,389,20,6,14,80186,7,1095,260,1,1.0,1,1.0,1,0.38461538461538464,1,0.0583333333333333,1,0.0583333333333333,1,0.38461538461538464
recurrent_layers.MUT321.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#RNNLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays )#884",2,111,1106,272,20,0,20,187236,35,1095,13,1,1.0,1,1.0,1,7.6923076923076925,1,0.0158730158730158,1,0.0158730158730158,1,7.6923076923076925
prior_box_layer.MUT127.cpp,"opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#468",2,709,917,222,20,0,20,58400,13,1095,59,1,1.0,1,1.0,1,1.694915254237288,1,0.0306122448979591,1,0.0306122448979591,1,1.694915254237288
permute_layer.MUT58.cpp,opencv_dnn/modules/dnn/src/layers/permute_layer.cpp#PermuteInvoker::operator()(const class cv::Range & r)#258,24,4246,1169,336,20,2,18,62632,8,1095,367,1,0.3535533905932738,1,0.3535533905932738,1,0.2724795640326975,1,0.0292397660818713,1,0.0292397660818713,1,0.2724795640326975
onnx_graph_simplifier.MUT231.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#GeluSubGraph::match(const Ptr<class cv::dnn::ImportGraphWrapper> & net, int nodeId, int & matchedNodesIds)#695",1,1152,1036,394,4,0,4,195811,0,1095,118,1095,0.0,1095,0.0,118,100.0,1095,0.0,1095,0.0,118,100.0
torch_importer.MUT284.cpp,opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchObject(int index)#789,1,505,769,265,20,2,18,55862,0,1095,46,1095,0.0,1095,0.0,46,100.0,1094,0.0,1094,0.0,45,97.82608695652173
recurrent_layers.MUT52.cpp,opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::LSTMLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#230,1,1582,1187,400,20,2,18,90977,5,1095,149,1,1.0,1,1.0,1,0.6711409395973155,1,0.043859649122807,1,0.043859649122807,1,0.6711409395973155
tf_importer.MUT745.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseFusedBatchNorm(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#1950",12,3333,1191,415,20,10,10,59727,12,1095,311,1,1.0,1,1.0,1,0.3215434083601286,1,0.0839160839160839,1,0.0839160839160839,1,0.3215434083601286
reduce_layer.MUT7.cpp,opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceLayerImpl::ReduceLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#24,16,2160,1223,450,11,4,7,95842,60,1095,190,1,0.968245836551854,1,0.968245836551854,1,0.5263157894736842,1,0.1229508196721311,1,0.1229508196721311,1,0.5263157894736842
prior_box_layer.MUT37.cpp,opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::getVariance(const class cv::dnn::dnn4_v20240521::LayerParams & params)#176,2,461,792,163,16,5,11,84892,0,1095,40,1095,0.0,1095,0.0,40,100.0,1094,0.0,1094,0.0,39,97.5
gemm_layer.MUT58.cpp,"opencv_dnn/modules/dnn/src/layers/gemm_layer.cpp#GemmLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr)#155",1,1077,1082,390,20,0,20,150798,9,1095,108,1,1.0,1,1.0,1,0.9259259259259258,1,0.0428571428571428,1,0.0428571428571428,1,0.9259259259259258
softmax_layer.MUT50.cpp,opencv_dnn/modules/dnn/src/int8layers/softmax_layer.cpp#SoftmaxInt8Invoker::operator()(const class cv::Range & r)#255,6,2645,1011,316,0,0,0,65361,0,1095,251,1095,0.0,1095,0.0,251,100.0,1095,0.0,1095,0.0,251,100.0
onnx_importer.MUT641.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseLeakyRelu(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1816",3,1043,1109,412,20,8,12,170492,3,1095,110,1,1.0,1,1.0,1,0.9090909090909091,1,0.0576923076923076,1,0.0576923076923076,1,0.9090909090909091
convolution_layer.MUT23.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#BaseConvolutionLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr)#134",4,1893,1214,354,20,0,20,110637,27,1095,175,1,1.0,1,1.0,1,0.5714285714285714,1,0.0459183673469387,1,0.0459183673469387,1,0.5714285714285714
einsum_layer.MUT330.cpp,"opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::pairwiseOperandProcess(const class cv::Mat & left, const cv::dnn::dnn4_v20240521::MatShape & leftShapeOverride, const class cv::Mat & right, const cv::dnn::dnn4_v20240521::MatShape & rightShapeOverride, const cv::dnn::dnn4_v20240521::MatShape & reduceDims, _Bool isFinalPair)#1103",7,1300,1174,443,20,3,17,161880,0,1095,126,1095,0.0,1095,0.0,126,100.0,1094,0.0,1094,0.0,125,99.20634920634922
nary_eltwise_layers.MUT57.cpp,opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseHelper::prepare_for_broadcast_op()#155,7,1211,1146,391,20,2,18,107947,33,1095,119,1,1.0,1,1.0,1,0.8403361344537815,1,0.0510835913312693,1,0.0510835913312693,1,0.8403361344537815
einsum_layer.MUT40.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#DiagonalDataAssignment(class cv::Mat input)#132,2,1243,1025,347,20,0,20,144444,0,1095,116,1095,0.0,1095,0.0,116,100.0,1094,0.0,1094,0.0,115,99.13793103448276
tf_graph_simplifier.MUT386.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#RemoveIdentityOps(tensorflow::GraphDef & net)#866,20,2862,1227,253,20,0,20,62719,11,1095,252,1,0.3162277660168379,1,0.3162277660168379,1,0.3968253968253968,1,0.0757575757575757,1,0.0757575757575757,1,0.3968253968253968
onnx_graph_simplifier.MUT544.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#ExtractScalesSubgraph::ExtractScalesSubgraph()#1468,2,1420,1086,372,20,4,16,82392,18,1095,138,1,1.0,1,1.0,1,0.7246376811594203,1,0.0557275541795665,1,0.0557275541795665,1,0.7246376811594203
pooling_layer.MUT215.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#892,1,649,914,218,20,2,18,129283,0,1095,57,1095,0.0,1095,0.0,57,100.0,1095,0.0,1095,0.0,57,100.0
tf_importer.MUT77.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#setKSize(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const tensorflow::NodeDef & layer)#373",23,3330,1162,345,20,0,20,85381,183,1095,291,1,1.0,1,1.0,1,0.3436426116838488,1,0.0506775650127275,2,0.0401138716356107,2,0.6872852233676976
recurrent_layers.MUT159.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#480",12,1976,1104,310,20,6,14,58438,1,1095,173,1,0.2886751345948129,1,0.2886751345948129,1,0.5780346820809248,1,0.0333333333333333,1,0.0333333333333333,1,0.5780346820809248
onnx_importer.MUT1637.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQAvgPool(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3800",1,1242,879,332,20,6,14,107856,3,1095,132,1,1.0,1,1.0,1,0.7575757575757576,1,0.05,1,0.05,1,0.7575757575757576
nary_eltwise_layers.MUT234.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::trinary_forward_impl(int ndims, const int & shape, const char * data1, const int & step1, const char * data2, const int & step2, const char * data3, const int & step3, char * data, const int & step, const Functor & op)#545",1,1245,1124,457,20,0,20,140324,16,1095,125,1,1.0,1,1.0,1,0.8,1,0.0448179271708683,1,0.0448179271708683,1,0.8
flow_warp_layer.MUT43.cpp,"opencv_dnn/modules/dnn/src/layers/flow_warp_layer.cpp#FlowWarpLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#93",1,353,645,112,20,0,20,139081,0,1095,30,1095,0.0,1095,0.0,30,100.0,1094,0.0,1094,0.0,29,96.66666666666667
onnx_importer.MUT461.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#transformBlobs(int & blobs)#1442,15,1576,1129,371,20,0,20,88048,15,1095,141,1,1.0,1,1.0,1,0.7092198581560284,1,0.0446428571428571,1,0.0446428571428571,1,0.7092198581560284
einsum_layer.MUT282.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::processEquation(const int & inputs)#931,2,1111,1268,479,20,7,13,171018,2,1095,104,1,1.0,1,1.0,1,0.9615384615384616,1,0.0476190476190476,1,0.0476190476190476,1,0.9615384615384616
torch_importer.MUT195.cpp,opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchObject(int index)#610,1,527,652,184,6,1,5,99071,3,1095,59,1,1.0,1,1.0,1,1.694915254237288,1,0.0712779576775359,1,0.0712779576775359,1,1.694915254237288
onnx_importer.MUT398.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseSlice(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1312",21,1865,1139,393,20,10,10,72851,0,1095,170,1095,0.0,1095,0.0,170,100.0,1095,0.0,1095,0.0,170,100.0
tf_graph_simplifier.MUT516.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#removePhaseSwitches(tensorflow::GraphDef & net)#1148,5,2375,1126,315,20,6,14,104010,0,1095,209,1095,0.0,1095,0.0,209,100.0,1094,0.0,1094,0.0,208,99.52153110047847
tf_graph_simplifier.MUT264.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#UpsamplingKerasSubgraph::finalize(tensorflow::GraphDef & net, tensorflow::NodeDef * fusedNode, int & inputNodes)#627",1,1043,1163,506,20,3,17,48960,7,1095,91,1,1.0,1,1.0,1,1.098901098901099,1,0.0486111111111111,1,0.0486111111111111,1,1.098901098901099
convolution_layer.MUT60.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#369",8,1593,1195,409,20,6,14,142689,22,1095,153,1,1.0,1,1.0,1,0.6535947712418301,1,0.0463768115942029,1,0.0463768115942029,1,0.6535947712418301
attention_layer.MUT5.cpp,"opencv_dnn/modules/dnn/src/layers/attention_layer.cpp#packWeight(size_t num_heads, size_t head_size, size_t input_hidden_size, const float * weight_data, size_t hidden_size, int & packed_weight, const struct cv::dnn::FastGemmOpt & opt)#21",2,1424,1323,452,20,4,16,132024,55,1095,128,1,0.8164965809277261,1095,0.0,128,100.0,1,0.0187500910375366,1095,0.0,128,100.0
onnx_graph_simplifier.MUT511.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#ExpandSubgraph::match(const Ptr<class cv::dnn::ImportGraphWrapper> & net, int nodeId, int & matchedNodesIds)#1374",3,1437,1141,390,20,5,15,121414,150,1095,140,3,1.0,3,1.0,3,2.142857142857143,1,0.0142611355859802,5,0.0029801324503311,5,3.571428571428571
pooling_layer.MUT191.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#861,81,5796,1223,242,20,1,19,57872,363,1095,510,1,1.0,1,1.0,1,0.19607843137254902,1,0.0473901098901098,1,0.0473901098901098,1,0.19607843137254902
attention_layer.MUT11.cpp,opencv_dnn/modules/dnn/src/layers/attention_layer.cpp#AttentionLayerImpl::AttentionLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#41,3,1217,1297,437,17,1,16,195783,75,1095,115,1,1.0,1,1.0,1,0.8695652173913043,1,0.0168109090505039,5,0.0023219814241486,5,4.3478260869565215
gemm_layer.MUT15.cpp,"opencv_dnn/modules/dnn/src/layers/gemm_layer.cpp#GemmLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#52",23,3726,1396,423,20,2,18,75981,102,1095,344,1,1.0,1,1.0,1,0.29069767441860467,1,0.0521205927439959,1,0.0521205927439959,1,0.29069767441860467
nary_eltwise_layers.MUT130.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::binary_forward_impl(int ndims, const int & shape, const char * data1, const int & step1, const char * data2, const int & step2, char * data, const int & step, const Functor & op)#360",42,5151,1174,325,20,1,19,49367,368,1095,457,1,0.5773502691896257,1,0.5773502691896257,1,0.2188183807439825,1,0.0047425474254742,1,0.0047425474254742,1,0.2188183807439825
fast_norm.MUT54.cpp,"opencv_dnn/modules/dnn/src/layers/cpu_kernels/fast_norm.cpp#fastNorm(const class cv::Mat & input, const class cv::Mat & scale, const class cv::Mat & bias, class cv::Mat & output, float epsilon, size_t normalized_axis)#97",10,1071,1097,433,20,8,12,118807,12,1095,106,1,1.0,1,1.0,1,0.9433962264150944,1,0.0710059171597633,1,0.0710059171597633,1,0.9433962264150944
elementwise_layers.MUT500.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#ChannelsPReLULayer::create(const class cv::dnn::dnn4_v20240521::LayerParams & params)#3145,1,1097,1138,374,18,4,14,86778,0,1095,100,1095,0.0,1095,0.0,100,100.0,1095,0.0,1095,0.0,100,100.0
tf_graph_simplifier.MUT278.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#SoftMaxSlimSubgraph::SoftMaxSlimSubgraph()#658,142,2771,1113,364,20,13,7,85998,702,1095,248,1,1.0,1,1.0,1,0.4032258064516129,1,0.1248221906116643,1,0.1248221906116643,1,0.4032258064516129
permute_layer.MUT53.cpp,opencv_dnn/modules/dnn/src/layers/permute_layer.cpp#PermuteInvoker::operator()(const class cv::Range & r)#250,12,3265,1354,456,20,1,19,137068,60,1095,293,1,1.0,1,1.0,1,0.3412969283276451,1,0.0491759032858694,1,0.0491759032858694,1,0.3412969283276451
onnx_importer.MUT715.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseMatMul(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto_)#1975",1,818,1184,471,20,0,20,149027,2,1095,90,1,1.0,1,1.0,1,1.1111111111111112,1,0.0317460317460317,1,0.0317460317460317,1,1.1111111111111112
net_quantization.MUT118.cpp,"opencv_dnn/modules/dnn/src/net_quantization.cpp#Impl::quantize(class cv::dnn::dnn4_v20240521::Net & net, cv::InputArrayOfArrays calibData, int inputsDtype, int outputsDtype, _Bool perChannel)#234",10,4763,1360,398,20,1,19,70180,27,1095,417,1,1.0,1,1.0,1,0.2398081534772182,1,0.0357142857142857,1,0.0357142857142857,1,0.2398081534772182
onnx_importer.MUT1522.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQEltwise(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto_)#3620",5,1515,1142,359,20,0,20,114007,1,1095,155,1,0.4472135954999579,1,0.4472135954999579,1,0.6451612903225806,1,0.0238095238095238,1,0.0238095238095238,1,0.6451612903225806
